id,time,lat,lon,mag,group
usp00093je,1999-02-27 12:55:13.190000,-49.4192679068,-8.33781509527,5.6,1
usp000dgx4,2005-02-25 05:11:59.930000,-49.1612521922,-8.82505059934,5.0,1
usp000ef03,2006-04-20 14:31:28.720000,-49.3988318645,-8.25273253274,5.0,1
usp000ef05,2006-04-20 14:59:07.410000,-49.4014988776,-8.25240133894,5.1,1
usp000ef07,2006-04-20 15:12:18.370000,-49.4102337162,-8.243782623,5.3,1
usp000ef0d,2006-04-20 15:58:16.200000,-49.4173177653,-8.2376996864,5.2,1
usp000ef0h,2006-04-20 16:50:15.290000,-49.4509920845,-8.23168753283,5.2,1
usp000gyx7,2009-07-03 20:28:15.040000,-49.6280941263,-8.28794782936,5.3,1
usb000iv42,2013-08-04 01:28:26.520000,-49.2030776633,-8.59862701531,5.694,1
usc000rqef,2014-07-04 05:34:19.210000,-49.1570704621,-8.53068080958,5.451,1
usc000tksd,2015-02-01 20:02:20.730000,-49.4243733263,-8.34794953152,5.6,1
us20005z5m,2016-05-30 07:35:57.760000,-49.341566058,-8.36821538406,5.613,1
us60008a9i,2020-03-05 14:58:45.960000,-48.8578574246,-8.79838496348,5.1,1
