id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,0.1,97.028853447
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000jyce,2013-01-13 16:28:26.220000,25.891,-110.103,5.7,120.414300045,0.0,13.721237261
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000jtqn,2012-10-08 06:26:23.020000,25.127,-109.574,5.9,204.932878909,0.2,70.797341603
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000j5hr,2011-07-26 17:44:20.380000,25.101,-109.525,6.0,210.639583619,0.3,76.504046313
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000hwfy,2011-03-12 13:25:59.840000,25.209,-109.82,5.6,179.422024661,0.1,45.286487355
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000hncn,2010-10-21 17:59:00.640000,24.752,-109.26,5.613,255.059074537,0.087,120.923537231
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000gyws,2009-07-03 11:00:14.630000,25.131,-109.754,6.0,189.915391186,0.3,55.77985388
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000fm5s,2007-09-01 19:14:22.640000,24.902,-109.689,6.1,211.074095797,0.4,76.938558491
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp000dgrs,2005-02-22 19:15:49.910000,25.669,-109.97,5.6,140.959944717,0.1,6.824407411
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp0007ezf,1996-03-19 15:31:36.440000,25.006,-109.329,5.8,232.927182516,0.1,98.79164521
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp0006zy5,1995-06-30 13:41:42.900000,24.386,-110.265,5.7,220.699160166,0.0,86.56362286
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp0006ce8,1994-05-12 00:22:23,25.068,-109.294,5.6,232.195365106,0.1,98.0598278
us20008vll,2017-03-29 15:15:23.470000,25.7127,-110.0237,5.7,134.135537306,usp00050yv,1991-12-26 00:22:18.420000,25.307,-109.693,5.872,184.073122325,0.172,49.937585019
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp000jsz4,2012-09-25 23:45:24.940000,24.666,-110.173,6.3,198.5869619,0.4,16.767256527
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp000j5hr,2011-07-26 17:44:20.380000,25.101,-109.525,6.0,210.639583619,0.7,4.714634808
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp000hncm,2010-10-21 17:53:13.570000,24.696,-109.156,6.7,267.173206272,0.0,51.818987845
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp000gyws,2009-07-03 11:00:14.630000,25.131,-109.754,6.0,189.915391186,0.7,25.438827241
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp000fm5s,2007-09-01 19:14:22.640000,24.902,-109.689,6.1,211.074095797,0.6,4.28012263
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp0006zy0,1995-06-30 11:58:56.880000,24.688,-110.228,6.2,193.509057454,0.5,21.845160973
us20003j4u,2015-09-13 08:14:08.560000,24.913,-109.6226,6.7,215.354218427,usp00046pp,1990-03-16 15:52:42.630000,24.897,-109.035,6.1,264.410566652,0.6,49.056348225
us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,us10003006,2015-08-07 04:35:01.920000,24.069,-108.9079,5.613,331.962517543,0.013,100.79812679
us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,usp000jyce,2013-01-13 16:28:26.220000,25.891,-110.103,5.7,120.414300045,0.1,110.750090708
us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,usp000jtqn,2012-10-08 06:26:23.020000,25.127,-109.574,5.9,204.932878909,0.3,26.231511844
us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,usp000j5hr,2011-07-26 17:44:20.380000,25.101,-109.525,6.0,210.639583619,0.4,20.524807134
us20003j4t,2015-09-13 07:57:33.460000,24.8094,-109.5138,5.6,231.164390753,usp000hwfy,2011-03-12 13:25:59.840000,25.209,-109.82,5.6,179.422024661,0.0,51.742366092
