id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,us70007uy4,2020-02-22 23:12:36.918000,-38.1463,-93.7502,5.5,10341.0000661,0.13,2.7615673
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,us70005f05,2019-09-11 19:16:40.678000,-38.2779,-93.0066,5.4,10275.3557836,0.03,68.4058498
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usc000tthz,2015-02-27 00:47:38.010000,-38.1586,-93.8636,5.613,10350.8705703,0.243,7.1089369
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp000j4vx,2011-07-14 11:17:32.290000,-38.193,-93.058,5.2,10280.1860533,0.17,63.5755801
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp000j4ve,2011-07-14 08:52:31.570000,-38.237,-93.772,5.5,10342.4733509,0.13,1.2882825
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp000j4vd,2011-07-14 08:49:23.710000,-38.223,-93.754,5.3,10340.9659741,0.07,2.7956593
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp000h760,2010-02-11 08:22:54.180000,-37.763,-93.999,5.1,10364.7243167,0.27,20.9626833
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp000gazs,2008-06-30 04:05:59.420000,-38.396,-93.252,5.2,10296.3186375,0.17,47.4429959
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp0009gej,1999-10-22 21:28:03.640000,-38.128,-93.695,5.37,10336.2519307,0.0,7.5097027
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp0008y82,1998-11-15 07:43:49.780000,-38.358,-93.56,5.4,10323.3775326,0.03,20.3841008
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp0008v3c,1998-09-17 16:41:20.120000,-38.294,-93.623,5.7,10329.1761999,0.33,14.5854335
us70007uy9,2020-02-22 23:19:02.778000,-38.2401,-93.7869,5.37,10343.7616334,usp00065v4,1993-12-31 05:19:23.070000,-38.332,-93.202,5.37,10292.2185794,0.0,51.543054
us70007uy4,2020-02-22 23:12:36.918000,-38.1463,-93.7502,5.5,10341.0000661,us70005f05,2019-09-11 19:16:40.678000,-38.2779,-93.0066,5.4,10275.3557836,0.1,65.6442825
us70007uy4,2020-02-22 23:12:36.918000,-38.1463,-93.7502,5.5,10341.0000661,usc000tthz,2015-02-27 00:47:38.010000,-38.1586,-93.8636,5.613,10350.8705703,0.113,9.8705042
us70007uy4,2020-02-22 23:12:36.918000,-38.1463,-93.7502,5.5,10341.0000661,usp000j4vx,2011-07-14 11:17:32.290000,-38.193,-93.058,5.2,10280.1860533,0.3,60.8140128
