id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,0.151,9.602622465
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,us2000b2xs,2017-10-09 03:46:44.160000,-12.7838,66.3823,5.1,429.251212627,0.351,78.865574606
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,us2000b2x2,2017-10-09 00:28:24.530000,-12.7978,66.4262,5.37,433.221301014,0.081,74.895486219
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usc000t3pq,2014-12-04 10:53:30.110000,-12.0627,65.5663,5.4,387.148804157,0.051,120.967983076
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000j3n4,2011-06-24 05:28:48.480000,-12.729,66.261,5.451,419.03414117,0.0,89.082646063
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000j3n3,2011-06-24 05:18:49.040000,-12.695,66.25,5.613,419.296920671,0.162,88.819866562
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000j3n2,2011-06-24 05:12:10.180000,-12.715,66.354,5.451,429.017243027,0.0,79.099544206
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000j2ad,2011-05-27 20:28:46.880000,-12.738,66.348,5.37,427.506281702,0.081,80.610505531
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000j1tx,2011-05-19 07:14:44.290000,-10.35,66.375,5.1,578.209813385,0.351,70.093026152
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000gmgx,2008-10-31 13:30:01.660000,-11.483,66.514,5.2,508.543519626,0.251,0.426732393
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000fyeh,2008-02-08 06:34:21.110000,-12.019,65.743,5.2,405.6996976,0.251,102.417089633
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000fybx,2008-02-07 05:45:29.490000,-12.051,65.706,5.37,400.376325019,0.081,107.740462214
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000f6c9,2007-03-09 07:27:31.220000,-11.428,66.255,5.7,489.209969096,0.249,18.906818137
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000acu0,2001-04-08 19:26:43.790000,-11.824,65.95,5.37,436.521478137,0.081,71.595309096
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp000a20a,2000-10-18 02:43:18.080000,-10.535,66.738,5.5,592.784281726,0.049,84.667494493
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0009xvj,2000-08-04 03:14:10.970000,-12.776,66.252,5.451,416.269249297,0.0,91.847537936
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0009xvh,2000-08-04 03:11:49.970000,-12.723,66.171,5.37,410.179575944,0.081,97.937211289
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0009q0z,2000-03-22 07:02:28.380000,-12.194,65.769,5.7,397.49289863,0.249,110.623888603
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp00097ef,1999-05-06 06:54:46.120000,-11.215,66.078,5.2,488.946662641,0.251,19.170124592
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0007y93,1997-03-04 17:24:17.220000,-10.559,66.297,5.37,555.778924995,0.081,47.662137762
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0007mx6,1996-07-31 10:29:10.400000,-12.739,66.307,5.2,423.302217072,0.251,84.814570161
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0006f7b,1994-07-05 13:31:17.200000,-12.154,65.67,5.5,390.787981621,0.049,117.328805612
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp0004b9d,1990-07-02 18:27:33.700000,-11.838,65.657,5.3,409.849357757,0.151,98.267429476
us2000kbax,2019-04-06 12:03:33.542000,-11.5037,66.5237,5.451,508.116787233,usp00045ss,1990-02-22 16:51:51.060000,-11.458,66.38,5.8,498.204254305,0.349,9.912532928
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,us2000b2xs,2017-10-09 03:46:44.160000,-12.7838,66.3823,5.1,429.251212627,0.2,69.262952141
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,us2000b2x2,2017-10-09 00:28:24.530000,-12.7978,66.4262,5.37,433.221301014,0.07,65.292863754
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usc000t3pq,2014-12-04 10:53:30.110000,-12.0627,65.5663,5.4,387.148804157,0.1,111.365360611
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j3n4,2011-06-24 05:28:48.480000,-12.729,66.261,5.451,419.03414117,0.151,79.480023598
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j3n3,2011-06-24 05:18:49.040000,-12.695,66.25,5.613,419.296920671,0.313,79.217244097
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j3n2,2011-06-24 05:12:10.180000,-12.715,66.354,5.451,429.017243027,0.151,69.496921741
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j2ad,2011-05-27 20:28:46.880000,-12.738,66.348,5.37,427.506281702,0.07,71.007883066
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j2ac,2011-05-27 20:27:38.100000,-12.722,66.337,5.0,427.016176679,0.3,71.497988089
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000j1tx,2011-05-19 07:14:44.290000,-10.35,66.375,5.1,578.209813385,0.2,79.695648617
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000hcxn,2010-05-19 05:43:31.100000,-12.113,65.547,5.1,382.230048771,0.2,116.284115997
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000gmgx,2008-10-31 13:30:01.660000,-11.483,66.514,5.2,508.543519626,0.1,10.029354858
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000fytm,2008-02-13 08:43:45.810000,-12.155,65.691,5.0,392.641929926,0.3,105.872234842
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000fyeh,2008-02-08 06:34:21.110000,-12.019,65.743,5.2,405.6996976,0.1,92.814467168
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000fybx,2008-02-07 05:45:29.490000,-12.051,65.706,5.37,400.376325019,0.07,98.137839749
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000f6c9,2007-03-09 07:27:31.220000,-11.428,66.255,5.7,489.209969096,0.4,9.304195672
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000ettv,2006-09-25 23:54:45.620000,-10.753,66.671,5.0,571.418560092,0.3,72.904395324
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000e6rj,2005-12-24 04:09:45.550000,-10.697,66.404,5.0,553.679440475,0.3,55.165275707
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000acu0,2001-04-08 19:26:43.790000,-11.824,65.95,5.37,436.521478137,0.07,61.992686631
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp000a20a,2000-10-18 02:43:18.080000,-10.535,66.738,5.5,592.784281726,0.2,94.270116958
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp0009xvj,2000-08-04 03:14:10.970000,-12.776,66.252,5.451,416.269249297,0.151,82.244915471
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp0009xvh,2000-08-04 03:11:49.970000,-12.723,66.171,5.37,410.179575944,0.07,88.334588824
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp0009q0z,2000-03-22 07:02:28.380000,-12.194,65.769,5.7,397.49289863,0.4,101.021266138
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp00097nj,1999-05-09 12:28:11.110000,-10.885,66.63,5.0,558.603577163,0.3,60.089412395
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp00097ef,1999-05-06 06:54:46.120000,-11.215,66.078,5.2,488.946662641,0.1,9.567502127
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp0007y93,1997-03-04 17:24:17.220000,-10.559,66.297,5.37,555.778924995,0.07,57.264760227
us2000kb7f,2019-04-06 07:47:41.264000,-11.5403,66.4424,5.3,498.514164768,usp0007mx6,1996-07-31 10:29:10.400000,-12.739,66.307,5.2,423.302217072,0.1,75.211947696
