id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp0006e8t,1994-06-14 10:24:07.080000,-49.558,125.719,5.37,12489.4604328,0.03,3.8138
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp0009ekc,1999-09-18 07:51:53.550000,-49.167,126.69,5.3,12572.244544,0.1,78.9703112
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp0009t7g,2000-05-20 09:49:15.570000,-49.795,125.988,5.5,12493.6571028,0.1,0.382870000001
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000a970,2001-02-07 01:58:07.300000,-50.04,126.922,5.2,12538.4888125,0.2,45.2145797
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000cms2,2004-02-21 19:29:30.900000,-49.988,126.899,5.2,12539.9608219,0.2,46.6865891
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000dwny,2005-08-04 12:57:34.710000,-49.603,125.951,5.4,12501.7172991,0.0,8.4430663
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000eujw,2006-10-06 07:36:38.380000,-49.556,126.256,5.1,12523.5222133,0.3,30.2479805
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000ft0y,2007-11-21 09:46:18.220000,-49.536,125.955,5.3,12505.5896085,0.1,12.3153757
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000gv8t,2009-03-21 15:55:42.130000,-48.734,126.561,5.0,12587.6784369,0.4,94.4042041
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000gw9m,2009-04-17 15:35:56.760000,-49.519,125.928,5.3,12504.7981718,0.1,11.523939
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000h4hh,2009-11-28 17:40:26.500000,-49.772,126.574,5.2,12531.6706984,0.2,38.3964656
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usp000je9c,2012-02-02 02:09:22.350000,-49.649,126.049,5.451,12505.4129907,0.051,12.1387579
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,usb000siwy,2014-10-05 07:24:43.270000,-49.7979,125.7688,5.5,12479.7069562,0.1,13.5672766
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us20006hdi,2016-07-25 08:58:30.790000,-49.4848,126.2657,5.8,12528.0118453,0.4,34.7376125
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us100068c5,2016-07-25 09:00:28.390000,-49.4245,126.3706,5.775,12537.9280947,0.375,44.6538619
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us10007euh,2016-12-02 00:14:40.010000,-49.6858,126.2493,5.4,12516.0254167,0.0,22.7511839
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us10007s8e,2017-01-10 03:01:32.450000,-48.7795,126.4062,5.532,12575.2750134,0.132,82.0007806
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us2000a8zw,2017-08-17 03:00:19.040000,-48.7607,126.388,5.451,12575.1255439,0.051,81.8513111
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,12493.2742328,us2000fyrv,2018-07-06 23:35:42.980000,-49.6301,126.0404,5.5,12505.8949947,0.1,12.6207619
usp0006e8t,1994-06-14 10:24:07.080000,-49.558,125.719,5.37,12489.4604328,usp0009ekc,1999-09-18 07:51:53.550000,-49.167,126.69,5.3,12572.244544,0.07,82.7841112
usp0006e8t,1994-06-14 10:24:07.080000,-49.558,125.719,5.37,12489.4604328,usp0009t7g,2000-05-20 09:49:15.570000,-49.795,125.988,5.5,12493.6571028,0.13,4.19667
usp0006e8t,1994-06-14 10:24:07.080000,-49.558,125.719,5.37,12489.4604328,usp000a970,2001-02-07 01:58:07.300000,-50.04,126.922,5.2,12538.4888125,0.17,49.0283797
