id,time,lat,lon,mag,group
usp0007p41,1996-08-27 10:50:49.420000,-36.8928428339,78.3951616245,6.0,1
usp0009sgz,2000-05-06 23:59:06.370000,-36.7795697772,78.563095366,5.3,1
usp000c1ey,2003-07-01 22:29:05.400000,-37.076413543,78.0935424722,5.4,1
usp000cx5a,2004-06-05 06:03:45.450000,-37.7336005064,77.8693047167,5.1,1
usp000edrv,2006-04-05 17:43:15.630000,-37.2879498526,78.1780420777,5.8,1
usp000eggk,2006-05-07 14:17:35.170000,-36.9732311536,78.2564574882,6.1,1
usp000eggq,2006-05-07 14:47:17.260000,-37.0610261268,78.0927489459,5.2,1
usp000egh2,2006-05-07 16:45:08.210000,-36.8781986133,78.4315190417,5.5,1
usp000f3xb,2007-01-30 02:35:10.600000,-37.7085883647,77.8652045476,5.2,1
usp000f428,2007-02-01 00:14:26.050000,-37.6950561977,77.8910117829,5.5,1
usp000hdp1,2010-06-07 05:21:38.540000,-36.9686499748,78.2666859286,5.1,1
usp000hhd8,2010-08-02 21:47:41.870000,-37.4227364522,78.0065539941,5.2,1
usp000hp9b,2010-11-08 07:37:08.920000,-37.0528841525,78.1486522633,5.2,1
usp000hqrh,2010-12-10 10:13:43.410000,-37.4373875073,77.9853170069,5.2,1
usp000hqy2,2010-12-15 04:23:03.670000,-37.4398736433,78.0953414165,5.3,1
usp000j9f1,2011-10-17 07:21:55.820000,-37.3595826014,78.0071304439,5.0,1
usp000j9g7,2011-10-17 21:28:26.490000,-37.3952752203,77.9986975677,5.1,1
usp000j9gd,2011-10-18 04:38:37.710000,-37.3255438036,78.0223205164,5.0,1
us20002mbq,2015-06-05 14:54:00.970000,-37.0853439505,78.0826522746,5.6,1
us100031wx,2015-08-13 10:39:53.840000,-36.9132282763,78.359973219,6.0,1
us100031xf,2015-08-13 11:28:15.300000,-36.9963077554,78.2046081674,5.6,1
us20003gqk,2015-09-05 15:05:45.040000,-37.2697888641,78.1850287003,5.613,1
us10004f8d,2016-01-17 19:25:16.790000,-37.9416892093,77.8663330596,5.451,1
us1000hdxw,2018-10-18 15:18:04.160000,-36.9760660504,78.2609839034,5.37,1
us7000bqaf,2020-09-19 21:09:31.865000,-37.6083925164,77.8547390801,5.8,1
