id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,0.1,82.426633195
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,us60004z9n,2019-08-02 05:50:55.239000,-49.7307,-113.8331,6.0,552.535060758,0.4,118.453516151
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,us70004ji2,2019-07-13 07:59:33.557000,-49.5587,-116.7328,5.7,346.098504128,0.1,87.983040479
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,us20003hme,2015-09-09 07:05:44.490000,-49.5321,-116.3317,5.9,372.565388633,0.3,61.516155974
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usb000qllq,2014-04-09 08:28:48.320000,-49.854,-114.2804,5.6,524.621328072,0.0,90.539783465
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000j4nm,2011-07-11 15:51:23.500000,-49.928,-114.076,5.7,540.974260976,0.1,106.892716369
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000g9ah,2008-06-12 05:30:43.930000,-50.157,-114.169,5.9,542.077052374,0.3,107.995507767
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000eukp,2006-10-06 16:25:27.570000,-50.105,-114.598,5.7,511.182226934,0.1,77.100682327
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000bke2,2002-12-10 01:28:33.670000,-50.028,-114.121,6.0,540.990298105,0.4,106.908753498
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000b1kz,2002-04-02 17:09:58.180000,-49.531,-116.074,5.9,390.327098383,0.3,43.754446224
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp000asrn,2001-11-12 17:54:19.160000,-49.591,-116.194,5.7,384.072157695,0.1,50.009386912
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp0009p3a,2000-02-29 04:35:04.200000,-50.066,-114.201,6.0,536.768868662,0.4,102.687324055
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp0007rsx,1996-10-22 20:37:21.080000,-50.256,-115.855,5.8,434.831863509,0.2,0.750318902
us7000bcmy,2020-08-22 11:58:48.512000,-49.8998,-115.6265,5.6,434.081544607,usp0007j4t,1996-06-04 04:13:16.940000,-50.005,-114.775,5.9,495.575690458,0.3,61.494145851
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,us60004z9n,2019-08-02 05:50:55.239000,-49.7307,-113.8331,6.0,552.535060758,0.3,36.026882956
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usb000qllq,2014-04-09 08:28:48.320000,-49.854,-114.2804,5.6,524.621328072,0.1,8.11315027
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usb000jz8j,2013-09-25 06:51:24.570000,-49.9585,-113.7439,6.1,564.860231789,0.4,48.352053987
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usp000j4nm,2011-07-11 15:51:23.500000,-49.928,-114.076,5.7,540.974260976,0.0,24.466083174
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usp000g9ah,2008-06-12 05:30:43.930000,-50.157,-114.169,5.9,542.077052374,0.2,25.568874572
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usp000eukp,2006-10-06 16:25:27.570000,-50.105,-114.598,5.7,511.182226934,0.0,5.325950868
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usp000cjx7,2004-01-29 03:52:52.300000,-50.206,-114.78,6.1,502.857045555,0.4,13.651132247
us70005aqu,2019-08-31 23:54:40.947000,-50.0035,-114.4669,5.7,516.508177802,usp000bke2,2002-12-10 01:28:33.670000,-50.028,-114.121,6.0,540.990298105,0.3,24.482120303
