id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp000ajdq,2001-07-12 06:12:16.790000,-7.429,-13.378,5.7,624.265828155,0.1,46.602248319
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp000aey8,2001-05-14 18:05:04.110000,-7.33,-13.425,5.451,631.085724808,0.349,39.782351666
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp000ab2q,2001-03-07 18:10:58.650000,-6.81,-12.911,6.0,709.543789199,0.2,38.675712725
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp000a25p,2000-10-21 08:24:42.380000,-7.42,-13.495,5.451,618.605940238,0.349,52.262136236
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0009uq6,2000-06-16 18:17:58.880000,-7.775,-13.486,5.4,585.377943274,0.4,85.4901332
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0009uq5,2000-06-16 17:59:03.320000,-7.983,-13.395,5.4,571.474422309,0.4,99.393654165
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0007p46,1996-08-27 14:36:39.160000,-6.933,-12.724,5.6,709.180928905,0.2,38.312852431
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp00078yk,1995-12-14 05:13:48.030000,-6.866,-12.726,5.451,715.250784677,0.349,44.382708203
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp00078yc,1995-12-14 02:09:15.580000,-6.98,-12.657,5.6,708.988936762,0.2,38.120860288
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0006k9t,1994-10-02 00:44:19.870000,-7.021,-13.113,5.686,678.013098042,0.114,7.145021568
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0005e98,1992-09-21 10:18:49.330000,-7.816,-13.585,5.6,575.813973367,0.2,95.054103107
us6000biyj,2020-08-22 08:38:01.740000,-7.1849,-12.972,5.8,670.868076474,usp0004w0y,1991-08-29 16:59:49.020000,-6.988,-12.677,5.4,707.015900413,0.4,36.147823939
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,0.243,45.001701147
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,0.243,90.666626076
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us2000cp7j,2018-01-25 10:25:41.790000,-8.0528,-13.6288,5.37,550.975049455,0.243,50.833117676
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us100098nb,2017-07-10 21:37:53.110000,-7.5966,-13.6263,5.532,594.463045048,0.081,7.345122083
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us10006thz,2016-09-28 09:41:17.540000,-6.926,-12.5941,5.37,717.839507393,0.243,116.031340262
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us200063gd,2016-06-10 09:26:53.070000,-7.4584,-13.6003,5.5,609.197200019,0.113,7.389032888
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,us10003ziq,2015-11-19 13:49:44.680000,-7.6355,-13.5566,5.532,594.574307119,0.081,7.233860012
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usb000tq8c,2015-02-18 02:20:37.640000,-7.7076,-13.4636,5.694,593.018963428,0.081,8.789203703
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000jeva,2012-02-12 18:09:21.670000,-7.074,-13.051,5.37,676.570967166,0.243,74.762800035
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000j69g,2011-08-10 23:45:43.040000,-7.04,-12.618,6.0,705.962018756,0.387,104.153851625
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000j4gf,2011-07-09 23:47:30.120000,-7.799,-13.479,5.3,583.531507928,0.313,18.276659203
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000gf02,2008-08-19 08:33:55.250000,-8.201,-13.449,5.5,548.197742302,0.113,53.610424829
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000cq5a,2004-03-17 06:40:57.170000,-7.043,-13.012,5.3,681.755041582,0.313,79.946874451
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000ajdq,2001-07-12 06:12:16.790000,-7.429,-13.378,5.7,624.265828155,0.087,22.457661024
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000aey8,2001-05-14 18:05:04.110000,-7.33,-13.425,5.451,631.085724808,0.162,29.277557677
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000ab2q,2001-03-07 18:10:58.650000,-6.81,-12.911,6.0,709.543789199,0.387,107.735622068
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000a25p,2000-10-21 08:24:42.380000,-7.42,-13.495,5.451,618.605940238,0.162,16.797773107
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0009uq6,2000-06-16 18:17:58.880000,-7.775,-13.486,5.4,585.377943274,0.213,16.430223857
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0009uq5,2000-06-16 17:59:03.320000,-7.983,-13.395,5.4,571.474422309,0.213,30.333744822
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0007p46,1996-08-27 14:36:39.160000,-6.933,-12.724,5.6,709.180928905,0.013,107.372761774
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp00078yk,1995-12-14 05:13:48.030000,-6.866,-12.726,5.451,715.250784677,0.162,113.442617546
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp00078yc,1995-12-14 02:09:15.580000,-6.98,-12.657,5.6,708.988936762,0.013,107.180769631
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0006k9t,1994-10-02 00:44:19.870000,-7.021,-13.113,5.686,678.013098042,0.073,76.204930911
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0005e98,1992-09-21 10:18:49.330000,-7.816,-13.585,5.6,575.813973367,0.013,25.994193764
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp000545u,1992-03-12 16:34:46.970000,-7.84,-13.635,5.3,570.70239596,0.313,31.105771171
us6000a71c,2020-06-06 05:03:05.872000,-7.4871,-13.6871,5.613,601.808167131,usp0004w0y,1991-08-29 16:59:49.020000,-6.988,-12.677,5.4,707.015900413,0.213,105.207733282
us70006xnd,2019-12-27 18:04:47.909000,-6.3499,-11.0268,5.37,874.714928448,us20009lv8,2017-06-11 16:29:55.880000,-6.8,-11.8117,5.451,780.715538327,0.081,93.999390121
us70006xnd,2019-12-27 18:04:47.909000,-6.3499,-11.0268,5.37,874.714928448,usp000fp5v,2007-09-26 18:39:34.820000,-7.074,-11.713,5.6,764.49722181,0.23,110.217706638
us70006xnd,2019-12-27 18:04:47.909000,-6.3499,-11.0268,5.37,874.714928448,usp000bqkb,2003-02-13 05:59:10.580000,-6.726,-11.802,5.4,787.765812938,0.03,86.94911551
us70006xnd,2019-12-27 18:04:47.909000,-6.3499,-11.0268,5.37,874.714928448,usp000929n,1999-02-05 04:23:08.220000,-6.661,-11.432,5.3,819.371929174,0.07,55.342999274
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,0.0,45.664924929
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us2000cp7j,2018-01-25 10:25:41.790000,-8.0528,-13.6288,5.37,550.975049455,0.0,95.834818823
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us100098nb,2017-07-10 21:37:53.110000,-7.5966,-13.6263,5.532,594.463045048,0.162,52.34682323
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us10006thz,2016-09-28 09:41:17.540000,-6.926,-12.5941,5.37,717.839507393,0.0,71.029639115
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us200063gd,2016-06-10 09:26:53.070000,-7.4584,-13.6003,5.5,609.197200019,0.13,37.612668259
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,us10003ziq,2015-11-19 13:49:44.680000,-7.6355,-13.5566,5.532,594.574307119,0.162,52.235561159
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usb000tq8c,2015-02-18 02:20:37.640000,-7.7076,-13.4636,5.694,593.018963428,0.324,53.79090485
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000jeva,2012-02-12 18:09:21.670000,-7.074,-13.051,5.37,676.570967166,0.0,29.761098888
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000j6a0,2011-08-11 08:19:39.590000,-7.024,-12.795,5.2,696.459401418,0.17,49.64953314
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000j69q,2011-08-11 01:36:45.820000,-7.008,-12.562,5.2,712.405530124,0.17,65.595661846
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000j4gf,2011-07-09 23:47:30.120000,-7.799,-13.479,5.3,583.531507928,0.07,63.27836035
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000j4gb,2011-07-09 23:17:58.410000,-7.859,-13.587,5.2,571.63249572,0.17,75.177372558
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000hpte,2010-11-17 22:33:43.390000,-7.52,-13.464,5.2,610.765511763,0.17,36.044356515
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000gvev,2009-03-26 18:43:47.580000,-6.775,-12.537,5.4,735.196431147,0.03,88.386562869
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000gf02,2008-08-19 08:33:55.250000,-8.201,-13.449,5.5,548.197742302,0.13,98.612125976
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000fp5v,2007-09-26 18:39:34.820000,-7.074,-11.713,5.6,764.49722181,0.23,117.687353532
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000dvmy,2005-07-21 19:17:49.590000,-8.13,-13.492,5.2,552.016720447,0.17,94.793147831
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000cu73,2004-05-05 05:24:18.690000,-7.408,-13.483,5.2,620.415980583,0.17,26.393887695
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000cq5a,2004-03-17 06:40:57.170000,-7.043,-13.012,5.3,681.755041582,0.07,34.945173304
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000ajdq,2001-07-12 06:12:16.790000,-7.429,-13.378,5.7,624.265828155,0.33,22.544040123
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000aey8,2001-05-14 18:05:04.110000,-7.33,-13.425,5.451,631.085724808,0.081,15.72414347
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000a25p,2000-10-21 08:24:42.380000,-7.42,-13.495,5.451,618.605940238,0.081,28.20392804
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0009uq6,2000-06-16 18:17:58.880000,-7.775,-13.486,5.4,585.377943274,0.03,61.431925004
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0009uq5,2000-06-16 17:59:03.320000,-7.983,-13.395,5.4,571.474422309,0.03,75.335445969
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0008gs6,1998-03-01 12:31:20.350000,-6.766,-12.61,5.3,731.536234562,0.07,84.726366284
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0007p46,1996-08-27 14:36:39.160000,-6.933,-12.724,5.6,709.180928905,0.23,62.371060627
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp00078yk,1995-12-14 05:13:48.030000,-6.866,-12.726,5.451,715.250784677,0.081,68.440916399
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp00078yc,1995-12-14 02:09:15.580000,-6.98,-12.657,5.6,708.988936762,0.23,62.179068484
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0006k9t,1994-10-02 00:44:19.870000,-7.021,-13.113,5.686,678.013098042,0.316,31.203229764
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0005e98,1992-09-21 10:18:49.330000,-7.816,-13.585,5.6,575.813973367,0.23,70.995894911
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp000545u,1992-03-12 16:34:46.970000,-7.84,-13.635,5.3,570.70239596,0.07,76.107472318
us1000h8dp,2018-10-07 09:44:28.710000,-7.3314,-13.147,5.37,646.809868278,usp0004w0y,1991-08-29 16:59:49.020000,-6.988,-12.677,5.4,707.015900413,0.03,60.206032135
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,us100098nb,2017-07-10 21:37:53.110000,-7.5966,-13.6263,5.532,594.463045048,0.162,98.011748159
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,us20009lv8,2017-06-11 16:29:55.880000,-6.8,-11.8117,5.451,780.715538327,0.081,88.24074512
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,us10006thz,2016-09-28 09:41:17.540000,-6.926,-12.5941,5.37,717.839507393,0.0,25.364714186
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,us200063gd,2016-06-10 09:26:53.070000,-7.4584,-13.6003,5.5,609.197200019,0.13,83.277593188
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,us10003ziq,2015-11-19 13:49:44.680000,-7.6355,-13.5566,5.532,594.574307119,0.162,97.900486088
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usb000tq8c,2015-02-18 02:20:37.640000,-7.7076,-13.4636,5.694,593.018963428,0.324,99.455829779
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000jeva,2012-02-12 18:09:21.670000,-7.074,-13.051,5.37,676.570967166,0.0,15.903826041
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000j6a0,2011-08-11 08:19:39.590000,-7.024,-12.795,5.2,696.459401418,0.17,3.984608211
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000j69q,2011-08-11 01:36:45.820000,-7.008,-12.562,5.2,712.405530124,0.17,19.930736917
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000j4gf,2011-07-09 23:47:30.120000,-7.799,-13.479,5.3,583.531507928,0.07,108.943285279
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000j4gb,2011-07-09 23:17:58.410000,-7.859,-13.587,5.2,571.63249572,0.17,120.842297487
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000hpte,2010-11-17 22:33:43.390000,-7.52,-13.464,5.2,610.765511763,0.17,81.709281444
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000gvev,2009-03-26 18:43:47.580000,-6.775,-12.537,5.4,735.196431147,0.03,42.72163794
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000fp5v,2007-09-26 18:39:34.820000,-7.074,-11.713,5.6,764.49722181,0.23,72.022428603
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000cu73,2004-05-05 05:24:18.690000,-7.408,-13.483,5.2,620.415980583,0.17,72.058812624
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000cq5a,2004-03-17 06:40:57.170000,-7.043,-13.012,5.3,681.755041582,0.07,10.719751625
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000bqkb,2003-02-13 05:59:10.580000,-6.726,-11.802,5.4,787.765812938,0.03,95.291019731
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000ajdq,2001-07-12 06:12:16.790000,-7.429,-13.378,5.7,624.265828155,0.33,68.208965052
us2000hilf,2018-09-22 08:42:31.790000,-7.0476,-12.8247,5.37,692.474793207,usp000aey8,2001-05-14 18:05:04.110000,-7.33,-13.425,5.451,631.085724808,0.081,61.389068399
